Vivado Simulator 2014.2
Time resolution is 1 ps
PC = 0xxxxxxxxx, IR = 0xxxxxxxxx
PC = 0x00000c00, IR = 0x00000000
PC = 0x00000c01, IR = 0x00000026
PC = 0x00000c02, IR = 0x24021234
PC = 0x00000c03, IR = 0x30433456
PC = 0x00000c04, IR = 0x00432021
PC = 0x00000c05, IR = 0x00622823
PC = 0x00000c06, IR = 0xac020000
PC = 0x00000c07, IR = 0xac030004
PC = 0x00000c08, IR = 0xac040008
PC = 0x00000c09, IR = 0xac050010
PC = 0x00000c0a, IR = 0x341d000c
PC = 0x00000c0b, IR = 0x38416543
PC = 0x00000c0c, IR = 0x00230824
PC = 0x00000c0d, IR = 0x00240825
PC = 0x00000c0e, IR = 0xac01000c
PC = 0x00000c0f, IR = 0x8c050000
PC = 0x00000c10, IR = 0x10450001
PC = 0x00000c11, IR = 0x10450001
PC = 0x00000c12, IR = 0x8c050004
PC = 0x00000c13, IR = 0x1465fffd
PC = 0x00000c14, IR = 0x0c000c15
PC = 0x00000c15, IR = 0x0c000c15
PC = 0x00000c16, IR = 0x00a23023
PC = 0x00000c17, IR = 0xafa6fffc
PC = 0x00000c18, IR = 0x08000c19
PC = 0x00000c19, IR = 0x08000c19
PC = 0x00000c1a, IR = 0x1464ffff
PC = 0x00000c19, IR = 0x1464ffff
PC = 0x00000c1a, IR = 0x1464ffff
PC = 0x00000c19, IR = 0x1464ffff
PC = 0x00000c1a, IR = 0x1464ffff
PC = 0x00000c19, IR = 0x1464ffff
PC = 0x00000c1a, IR = 0x1464ffff
PC = 0x00000c19, IR = 0x1464ffff
PC = 0x00000c1a, IR = 0x1464ffff
PC = 0x00000c19, IR = 0x1464ffff
PC = 0x00000c1a, IR = 0x1464ffff
PC = 0x00000c19, IR = 0x1464ffff
PC = 0x00000c1a, IR = 0x1464ffff
PC = 0x00000c19, IR = 0x1464ffff
PC = 0x00000c1a, IR = 0x1464ffff
PC = 0x00000c19, IR = 0x1464ffff
